sku;nombre;descripcion;seller;cat_fcom;nombre_cat_fcom;estado_publicacion;precio1;precio2;precio3;precio4;tipo_precio1;tipo_precio2;fcom_url;fecha_publicacion;origen;jl1;jl1_nombre;jl2;jl2_nombre;jl3;jl3_nombre;mkp_nombre
6544958;MK Toldo Plegable 3x6 Metros Metal Y Lona Facil Ar;Toldo Plegable 3X6 Metros Metal y Lona Facil Armar;Fernapet;;;Despublicado;;;  124990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6544958_1?$producto308$;16/08/2018 09:44;Market Place;J13;MUEBLES;J1307;TERRAZA;J130701;METAL;MK Toldo Plegable 3x6 Metros Metal Y Lona Facil Ar
6544881;MK Toldo Plegable 3x6 Metros Metal Y Lona Facil Ar;Toldo Plegable 3X6 Metros Metal y Lona Facil Armar;Fernapet;;;Despublicado;;;  124990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6544881_1?$producto308$;16/08/2018 09:44;Market Place;J13;MUEBLES;J1307;TERRAZA;J130701;METAL;MK Toldo Plegable 3x6 Metros Metal Y Lona Facil Ar
6544807;MK Toldo Plegable 3x6 Metros Metal Y Lona Facil Ar;Toldo Plegable 3X6 Metros Metal y Lona Facil Armar;Fernapet;;;Despublicado;;;  124990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6544807_1?$producto308$;16/08/2018 09:44;Market Place;J13;MUEBLES;J1307;TERRAZA;J130701;METAL;MK Toldo Plegable 3x6 Metros Metal Y Lona Facil Ar
6544745;MK Toldo Plegable 3x6 Metros Metal Y Lona Facil Ar;Toldo Plegable 3X6 Metros Metal y Lona Facil Armar;Fernapet;;;Despublicado;;;  124990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6544745_1?$producto308$;16/08/2018 09:44;Market Place;J13;MUEBLES;J1307;TERRAZA;J130701;METAL;MK Toldo Plegable 3x6 Metros Metal Y Lona Facil Ar
6534912;MK Termolaminadora Ofi. Guillotina 25x30 Micas Car;Termolaminadora Oficina Guillotina 25 cm x 30 cm Micas Carnet;Fernapet;cat90073;Arte y Manualidades;Publicado;;;   38990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6534912_1?$producto308$;02/07/2018 12:50;Market Place;J17;REGALOS;J1701;REGALERIA;J170108;ADORNOS;MK Termolaminadora Ofi  Guillotina 25x30 Micas Car
6534923;MK Set Maleta 3 Piezas Rígida Ruedas 360;Set Maleta 3 Piezas Rígida Ruedas 360;Fernapet;cat3143;Maletas;Publicado;;;   86990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6534923_1?$producto308$;02/07/2018 12:50;Market Place;J16;DECORACION;J1602;MALETERIA;J160201;MALETAS;MK Set Maleta 3 Piezas Rígida Ruedas 360
6534922;MK Set Maleta 3 Piezas Rígida Ruedas 360;Set Maleta 3 Piezas Rígida Ruedas 360;Fernapet;cat3143;Maletas;Despublicado;;     86990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6534922_1?$producto308$;02/07/2018 12:50;Market Place;J16;DECORACION;J1602;MALETERIA;J160201;MALETAS;MK Set Maleta 3 Piezas Rígida Ruedas 360
6534921;MK Set Maleta 3 Piezas Rígida Ruedas 360;Set Maleta 3 Piezas Rígida Ruedas 360;Fernapet;cat3143;Maletas;Publicado;;;   86990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6534921_1?$producto308$;02/07/2018 12:50;Market Place;J16;DECORACION;J1602;MALETERIA;J160201;MALETAS;MK Set Maleta 3 Piezas Rígida Ruedas 360
6534920;MK Set Maleta 3 Piezas Rígida Ruedas 360;Set Maleta 3 Piezas Rígida Ruedas 360;Fernapet;cat3143;Maletas;Publicado;;;   86990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6534920_1?$producto308$;02/07/2018 12:50;Market Place;J16;DECORACION;J1602;MALETERIA;J160201;MALETAS;MK Set Maleta 3 Piezas Rígida Ruedas 360
6534918;MK Radio De Auto Bluetooth Fm Mp3 Usb Aux 68237;Radio De Auto Bluetooth Fm Mp3 Usb Aux 68237;Fernapet;cat3202;Radios de Auto;Despublicado;;; 16990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6534918_1?$producto308$;28/06/2018 09:02;Market Place;J11;ELECTRO HOGAR;J1102;AUDIO;J110206;CAR AUDIO;MK Radio De Auto Bluetooth Fm Mp3 Usb Aux 68237
